Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
1,Kyle Connor,28,LW,82,41,56,97,17,25,30,9,2,8,37,19,0,267,15.4,484,1672:22:00,20:24,1,7,12.5,46,21,33,80,"ASnhl-1,Byng-15,Hart-17"
2,Mark Scheifele,31,C,82,39,48,87,12,61,28,11,0,11,34,14,0,180,21.7,339,1676:04:00,20:26,627,641,49.4,60,73,25,105,
3,Nikolaj Ehlers,28,LW,69,24,39,63,14,17,18,6,0,5,23,16,0,174,13.8,365,1089:51:00,15:48,5,14,26.3,33,38,16,52,
4,Josh Morrissey,29,D,80,14,48,62,17,22,11,3,0,2,29,19,0,172,8.1,433,1951:18:00,24:23:00,0,0,,113,49,32,78,"ASnhl-5,Norris-4"
5,Gabriel Vilardi,25,C,71,27,34,61,9,14,15,12,0,6,21,13,0,130,20.8,232,1287:40:00,18:08,75,77,49.3,50,21,22,41,Byng-39
6,Cole Perfetti,23,C,82,18,32,50,14,20,13,5,0,2,22,10,0,143,12.6,284,1245:20:00,15:11,21,46,31.3,45,71,20,55,
7,Neal Pionk,29,D,69,10,29,39,21,44,6,4,0,2,20,8,1,123,8.1,302,1522:09:00,22:04,0,0,,101,114,30,72,
8,Vladislav Namestnikov,32,C,78,11,27,38,20,38,9,2,0,1,17,9,1,94,11.7,168,1177:06:00,15:05,365,426,46.1,49,84,15,38,
9,Nino Niederreiter,32,RW,82,17,20,37,16,24,13,4,0,3,13,7,0,150,11.3,271,1217:52:00,14:51,20,26,43.5,39,152,17,60,
10,Adam Lowry,31,LW,73,16,18,34,18,28,16,0,0,4,16,0,2,99,16.2,196,1126:16:00,15:26,615,573,51.8,60,140,20,44,"Byng-49,Selke-10"
11,Alex Iafallo,31,C,82,15,16,31,21,15,9,6,0,2,12,4,0,109,13.8,189,1089:13:00,13:17,12,13,48,61,53,26,30,
12,Mason Appleton,29,C,71,10,12,22,7,22,10,0,0,3,11,1,0,107,9.3,185,1053:01:00,14:50,10,12,45.5,29,76,15,38,
13,Dylan Samberg,26,D,60,6,14,20,34,26,6,0,0,2,13,1,0,95,6.3,224,1268:15:00,21:08,0,0,,120,56,33,64,
14,Dylan DeMelo,31,D,82,3,16,19,31,38,3,0,0,2,16,0,0,75,4,193,1765:39:00,21:32,0,0,,112,137,29,89,
15,Colin Miller,32,D,60,4,11,15,10,38,3,1,0,0,10,1,0,68,5.9,187,871:05:00,14:31,0,0,,50,84,12,53,
16,Morgan Barron,26,C,74,8,7,15,8,16,6,0,2,0,7,0,0,92,8.7,169,767:46:00,10:23,85,78,52.1,38,122,23,31,
17,Logan Stanley,26,D,63,1,13,14,9,78,1,0,0,0,13,0,0,49,2,134,981:46:00,15:35,0,0,,76,88,11,59,
18,Rasmus Kupari,24,C,59,5,3,8,-1,16,5,0,0,1,3,0,0,53,9.4,99,605:18:00,10:16,262,237,52.5,31,77,9,30,
19,Haydn Fleury,28,D,39,0,7,7,-12,6,0,0,0,0,7,0,0,38,0,105,621:11:00,15:56,0,0,,56,48,3,39,
20,David Gustafsson,24,C,36,2,4,6,10,7,2,0,0,0,4,0,0,30,6.7,58,323:18:00,8:59,99,99,50,18,19,2,7,
21,Brandon Tanev,33,LW,19,1,4,5,0,6,1,0,0,0,4,0,0,14,7.1,39,208:31:00,10:58,0,4,0,14,46,6,12,
22,Nikita Chibrikov,21,RW,4,2,1,3,1,0,2,0,0,0,0,1,0,6,33.3,10,45:37:00,11:24,0,0,,4,9,1,3,
23,Luke Schenn,35,D,15,0,2,2,5,4,0,0,0,0,2,0,0,11,0,31,262:03:00,17:28,0,0,,28,72,3,15,
24,Connor Hellebuyck,31,G,63,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,3741:22:00,59:23:00,0,0,,0,0,0,18,"ASnhl-1,Hart-1,Jennings-1,Vezina-1"
25,Jaret Anderson-Dolan,25,C,7,0,1,1,3,4,0,0,0,0,1,0,0,8,0,12,69:33:00,9:56,1,1,50,6,23,1,2,
26,Parker Ford,24,F,3,1,0,1,1,2,1,0,0,0,0,0,0,2,50,4,23:30,7:50,0,0,,1,5,2,2,
27,Brad Lambert,21,C,5,0,1,1,0,2,0,0,0,0,1,0,0,1,0,9,58:02:00,11:36,5,10,33.3,4,5,0,1,
28,Ville Heinola,23,D,18,0,1,1,6,4,0,0,0,0,1,0,0,12,0,38,255:23:00,14:11,0,0,,16,8,7,15,
29,Dylan Coghlan,26,D,6,0,0,0,1,4,0,0,0,0,0,0,0,9,0,23,92:07:00,15:21,0,0,,7,2,2,8,
30,Eric Comrie,29,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1179:33:00,58:59:00,0,0,,0,0,0,4,
31,Dominic Toninato,30,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,41:19:00,8:16,3,2,60,3,7,0,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
